timestamp,link,tx_bytes,rx_bytes,tx_dropped,rx_dropped
2025-10-13 17:42:09,s1-eth4-s2-eth4,4314,21096,0,0
2025-10-13 17:42:09,s2-eth5-s3-eth4,8624,16962,0,0
2025-10-13 17:42:09,s3-eth5-s4-eth4,12762,12738,0,0
2025-10-13 17:42:09,s4-eth5-s5-eth4,16986,8600,0,0
2025-10-13 17:42:09,s5-eth5-s6-eth4,21210,4290,0,0
2025-10-13 17:42:19,s1-eth4-s2-eth4,2407973,61469,0,0
2025-10-13 17:42:19,s2-eth5-s3-eth4,2412185,56241,0,0
2025-10-13 17:42:19,s3-eth5-s4-eth4,2416225,50857,0,0
2025-10-13 17:42:19,s4-eth5-s5-eth4,2420932,46236,0,0
2025-10-13 17:42:19,s5-eth5-s6-eth4,2425837,41443,0,0
2025-10-13 17:42:29,s1-eth4-s2-eth4,5066979,99051,0,0
2025-10-13 17:42:29,s2-eth5-s3-eth4,5071191,93823,0,0
2025-10-13 17:42:29,s3-eth5-s4-eth4,5075371,88299,0,0
2025-10-13 17:42:29,s4-eth5-s5-eth4,5080148,83538,0,0
2025-10-13 17:42:29,s5-eth5-s6-eth4,5085053,78675,0,0
2025-10-13 17:42:39,s1-eth4-s2-eth4,7737068,148932,0,0
2025-10-13 17:42:39,s2-eth5-s3-eth4,7741224,142628,0,0
2025-10-13 17:42:39,s3-eth5-s4-eth4,7745208,136168,0,0
2025-10-13 17:42:39,s4-eth5-s5-eth4,7750398,131064,0,0
2025-10-13 17:42:39,s5-eth5-s6-eth4,7755786,125788,0,0
2025-10-13 17:42:49,s1-eth4-s2-eth4,25955448,204480,0,0
2025-10-13 17:42:49,s2-eth5-s3-eth4,25958092,198176,0,0
2025-10-13 17:42:49,s3-eth5-s4-eth4,25959052,191716,0,0
2025-10-13 17:42:49,s4-eth5-s5-eth4,25962730,186612,0,0
2025-10-13 17:42:49,s5-eth5-s6-eth4,25965094,181336,0,0
2025-10-13 17:42:59,s1-eth4-s2-eth4,43763870,259270,0,0
2025-10-13 17:42:59,s2-eth5-s3-eth4,43670719,252505,0,0
2025-10-13 17:42:59,s3-eth5-s4-eth4,43671140,245514,0,0
2025-10-13 17:42:59,s4-eth5-s5-eth4,43670282,240410,0,0
2025-10-13 17:42:59,s5-eth5-s6-eth4,43674158,235064,0,0
2025-10-13 17:43:09,s1-eth4-s2-eth4,52688283,305523,0,0
2025-10-13 17:43:09,s2-eth5-s3-eth4,52595545,298345,0,0
2025-10-13 17:43:09,s3-eth5-s4-eth4,52596379,291011,0,0
2025-10-13 17:43:09,s4-eth5-s5-eth4,52596004,285424,0,0
2025-10-13 17:43:09,s5-eth5-s6-eth4,52600223,279805,0,0
2025-10-13 17:43:19,s1-eth4-s2-eth4,62230223,351275,0,0
2025-10-13 17:43:19,s2-eth5-s3-eth4,62136950,343500,0,0
2025-10-13 17:43:19,s3-eth5-s4-eth4,62138827,335503,0,0
2025-10-13 17:43:19,s4-eth5-s5-eth4,62138452,329916,0,0
2025-10-13 17:43:19,s5-eth5-s6-eth4,62141299,324157,0,0
2025-10-13 17:43:29,s1-eth4-s2-eth4,71774655,395975,0,0
2025-10-13 17:43:29,s2-eth5-s3-eth4,71679870,388200,0,0
2025-10-13 17:43:29,s3-eth5-s4-eth4,71680235,380203,0,0
2025-10-13 17:43:29,s4-eth5-s5-eth4,71679860,374616,0,0
2025-10-13 17:43:29,s5-eth5-s6-eth4,71684219,368857,0,0
2025-10-13 17:43:40,s1-eth4-s2-eth4,80716813,439335,0,0
2025-10-13 17:43:40,s2-eth5-s3-eth4,80621489,430967,0,0
2025-10-13 17:43:40,s3-eth5-s4-eth4,80621315,422377,0,0
2025-10-13 17:43:40,s4-eth5-s5-eth4,80620940,416790,0,0
2025-10-13 17:43:40,s5-eth5-s6-eth4,80623787,411031,0,0
2025-10-13 17:43:50,s1-eth4-s2-eth4,92300595,15415699,0,0
2025-10-13 17:43:50,s2-eth5-s3-eth4,86972021,8724465,0,0
2025-10-13 17:43:50,s3-eth5-s4-eth4,85223843,9105119,0,0
2025-10-13 17:43:50,s4-eth5-s5-eth4,85223468,463972,0,0
2025-10-13 17:43:50,s5-eth5-s6-eth4,85226315,458213,0,0
2025-10-13 17:44:00,s1-eth4-s2-eth4,99617993,38558779,0,0
2025-10-13 17:44:00,s2-eth5-s3-eth4,93397789,27816493,0,0
2025-10-13 17:44:00,s3-eth5-s4-eth4,86935829,15062385,0,0
2025-10-13 17:44:00,s4-eth5-s5-eth4,86935454,494036,0,0
2025-10-13 17:44:00,s5-eth5-s6-eth4,86938301,488249,0,0
2025-10-13 17:44:10,s1-eth4-s2-eth4,99619710,63163666,0,0
2025-10-13 17:44:10,s2-eth5-s3-eth4,93399506,39593016,0,0
2025-10-13 17:44:10,s3-eth5-s4-eth4,86937616,15063708,0,0
2025-10-13 17:44:10,s4-eth5-s5-eth4,86937584,494904,0,0
2025-10-13 17:44:10,s5-eth5-s6-eth4,86940634,488872,0,0
2025-10-13 17:44:20,s1-eth4-s2-eth4,103012414,87580930,0,0
2025-10-13 17:44:20,s2-eth5-s3-eth4,93401020,51952968,0,0
2025-10-13 17:44:20,s3-eth5-s4-eth4,86939130,15064394,0,0
2025-10-13 17:44:20,s4-eth5-s5-eth4,86939574,495100,0,0
2025-10-13 17:44:20,s5-eth5-s6-eth4,86942764,488998,0,0
2025-10-13 17:44:30,s1-eth4-s2-eth4,115648082,103735354,0,0
2025-10-13 17:44:30,s2-eth5-s3-eth4,93402604,56349324,0,0
2025-10-13 17:44:30,s3-eth5-s4-eth4,86940644,15065150,0,0
2025-10-13 17:44:30,s4-eth5-s5-eth4,86941508,495436,0,0
2025-10-13 17:44:30,s5-eth5-s6-eth4,86944838,489194,0,0
2025-10-13 17:44:40,s1-eth4-s2-eth4,124712070,113740873,0,0
2025-10-13 17:44:40,s2-eth5-s3-eth4,93405299,56445699,0,0
2025-10-13 17:44:40,s3-eth5-s4-eth4,86944158,15065402,0,0
2025-10-13 17:44:40,s4-eth5-s5-eth4,86945274,495436,0,0
2025-10-13 17:44:40,s5-eth5-s6-eth4,86948604,489194,0,0
2025-10-13 17:44:50,s1-eth4-s2-eth4,124712428,113740873,0,0
2025-10-13 17:44:50,s2-eth5-s3-eth4,93405299,56446455,0,0
2025-10-13 17:44:50,s3-eth5-s4-eth4,86944410,15065780,0,0
2025-10-13 17:44:50,s4-eth5-s5-eth4,86945778,495436,0,0
2025-10-13 17:44:50,s5-eth5-s6-eth4,86949108,489194,0,0
2025-10-13 17:45:00,s1-eth4-s2-eth4,127873356,115875673,0,0
2025-10-13 17:45:00,s2-eth5-s3-eth4,97125272,56498524,0,0
2025-10-13 17:45:00,s3-eth5-s4-eth4,90663466,15117094,0,0
2025-10-13 17:45:00,s4-eth5-s5-eth4,90664414,546456,0,0
2025-10-13 17:45:00,s5-eth5-s6-eth4,90667744,540214,0,0
2025-10-13 17:45:10,s1-eth4-s2-eth4,138009490,122285931,0,0
2025-10-13 17:45:10,s2-eth5-s3-eth4,109617020,56651964,0,0
2025-10-13 17:45:10,s3-eth5-s4-eth4,103155214,15270534,0,0
2025-10-13 17:45:10,s4-eth5-s5-eth4,103156162,699896,0,0
2025-10-13 17:45:10,s5-eth5-s6-eth4,103159600,693654,0,0
2025-10-13 17:45:20,s1-eth4-s2-eth4,151789712,142675231,100,138
2025-10-13 17:45:20,s2-eth5-s3-eth4,129816536,63367352,174,29
2025-10-13 17:45:20,s3-eth5-s4-eth4,123347278,21989060,138,11
2025-10-13 17:45:20,s4-eth5-s5-eth4,123340558,7537818,143,21
2025-10-13 17:45:20,s5-eth5-s6-eth4,123333258,844284,144,1
2025-10-13 17:45:30,s1-eth4-s2-eth4,163720076,167315281,225,380
2025-10-13 17:45:30,s2-eth5-s3-eth4,147496305,78495019,398,53
2025-10-13 17:45:30,s3-eth5-s4-eth4,141012868,37119242,388,79
2025-10-13 17:45:30,s4-eth5-s5-eth4,140990454,22557360,378,63
2025-10-13 17:45:30,s5-eth5-s6-eth4,140970086,8989012,385,19
2025-10-13 17:45:40,s1-eth4-s2-eth4,174261280,192312885,225,380
2025-10-13 17:45:40,s2-eth5-s3-eth4,160015381,97231703,398,53
2025-10-13 17:45:40,s3-eth5-s4-eth4,153531944,55855396,388,79
2025-10-13 17:45:40,s4-eth5-s5-eth4,153509638,41293090,378,63
2025-10-13 17:45:40,s5-eth5-s6-eth4,153489324,27724424,385,19
2025-10-13 17:45:50,s1-eth4-s2-eth4,182172320,217153089,225,380
2025-10-13 17:45:50,s2-eth5-s3-eth4,169910665,115813263,398,53
2025-10-13 17:45:50,s3-eth5-s4-eth4,163427228,74436956,388,79
2025-10-13 17:45:50,s4-eth5-s5-eth4,163404814,59874756,378,63
2025-10-13 17:45:50,s5-eth5-s6-eth4,163384446,46306090,385,19
2025-10-13 17:46:00,s1-eth4-s2-eth4,185945020,241332747,225,380
2025-10-13 17:46:00,s2-eth5-s3-eth4,174231011,138329135,398,53
2025-10-13 17:46:00,s3-eth5-s4-eth4,167747574,96952864,388,79
2025-10-13 17:46:00,s4-eth5-s5-eth4,167725160,82390840,378,63
2025-10-13 17:46:00,s5-eth5-s6-eth4,167704792,68822210,385,19
2025-10-13 17:46:10,s1-eth4-s2-eth4,187841596,266047277,225,380
2025-10-13 17:46:10,s2-eth5-s3-eth4,176127587,163043665,398,53
2025-10-13 17:46:10,s3-eth5-s4-eth4,169644150,121667500,388,79
2025-10-13 17:46:10,s4-eth5-s5-eth4,169621736,107105582,378,63
2025-10-13 17:46:10,s5-eth5-s6-eth4,169601368,93537128,385,19
2025-10-13 17:46:20,s1-eth4-s2-eth4,187844827,268654090,225,380
2025-10-13 17:46:20,s2-eth5-s3-eth4,176130818,165650090,398,53
2025-10-13 17:46:20,s3-eth5-s4-eth4,169647451,124273607,388,79
2025-10-13 17:46:20,s4-eth5-s5-eth4,169624967,109711371,378,63
2025-10-13 17:46:20,s5-eth5-s6-eth4,169604599,96142599,385,19
2025-10-13 17:46:30,s1-eth4-s2-eth4,187846341,268654090,225,380
2025-10-13 17:46:30,s2-eth5-s3-eth4,176132332,165650090,398,53
2025-10-13 17:46:30,s3-eth5-s4-eth4,169648965,124273677,388,79
2025-10-13 17:46:30,s4-eth5-s5-eth4,169626481,109711371,378,63
2025-10-13 17:46:30,s5-eth5-s6-eth4,169606183,96142599,385,19
2025-10-13 17:46:40,s1-eth4-s2-eth4,187847855,268654090,225,380
2025-10-13 17:46:40,s2-eth5-s3-eth4,176133846,165650090,398,53
2025-10-13 17:46:40,s3-eth5-s4-eth4,169650479,124273677,388,79
2025-10-13 17:46:40,s4-eth5-s5-eth4,169627995,109711371,378,63
2025-10-13 17:46:40,s5-eth5-s6-eth4,169607697,96142599,385,19
2025-10-13 17:46:50,s1-eth4-s2-eth4,187847855,268654090,225,380
2025-10-13 17:46:50,s2-eth5-s3-eth4,176133916,165650090,398,53
2025-10-13 17:46:50,s3-eth5-s4-eth4,169650479,124273677,388,79
2025-10-13 17:46:50,s4-eth5-s5-eth4,169628065,109711371,378,63
2025-10-13 17:46:50,s5-eth5-s6-eth4,169607697,96142599,385,19
2025-10-13 17:47:00,s1-eth4-s2-eth4,187847855,268654090,225,380
2025-10-13 17:47:00,s2-eth5-s3-eth4,176133916,165650090,398,53
2025-10-13 17:47:00,s3-eth5-s4-eth4,169650479,124273677,388,79
2025-10-13 17:47:00,s4-eth5-s5-eth4,169628065,109711371,378,63
2025-10-13 17:47:00,s5-eth5-s6-eth4,169607697,96142599,385,19
2025-10-13 17:47:10,s1-eth4-s2-eth4,187849369,268654090,225,380
2025-10-13 17:47:10,s2-eth5-s3-eth4,176135430,165650090,398,53
2025-10-13 17:47:10,s3-eth5-s4-eth4,169651993,124273677,388,79
2025-10-13 17:47:10,s4-eth5-s5-eth4,169629579,109711371,378,63
2025-10-13 17:47:10,s5-eth5-s6-eth4,169609211,96142599,385,19
2025-10-13 17:47:20,s1-eth4-s2-eth4,187849369,268654090,225,380
2025-10-13 17:47:20,s2-eth5-s3-eth4,176135430,165650090,398,53
2025-10-13 17:47:20,s3-eth5-s4-eth4,169651993,124273677,388,79
2025-10-13 17:47:20,s4-eth5-s5-eth4,169629579,109711371,378,63
2025-10-13 17:47:20,s5-eth5-s6-eth4,169609211,96142599,385,19
2025-10-13 17:47:30,s1-eth4-s2-eth4,187849369,268654090,225,380
2025-10-13 17:47:30,s2-eth5-s3-eth4,176135430,165650090,398,53
2025-10-13 17:47:30,s3-eth5-s4-eth4,169651993,124273677,388,79
2025-10-13 17:47:30,s4-eth5-s5-eth4,169629579,109711371,378,63
2025-10-13 17:47:30,s5-eth5-s6-eth4,169609211,96142599,385,19
2025-10-13 17:47:40,s1-eth4-s2-eth4,187849369,268654090,225,380
2025-10-13 17:47:40,s2-eth5-s3-eth4,176135430,165650090,398,53
2025-10-13 17:47:40,s3-eth5-s4-eth4,169651993,124273677,388,79
2025-10-13 17:47:40,s4-eth5-s5-eth4,169629579,109711371,378,63
2025-10-13 17:47:40,s5-eth5-s6-eth4,169609211,96142599,385,19
2025-10-13 17:47:50,s1-eth4-s2-eth4,187849369,268654090,225,380
2025-10-13 17:47:50,s2-eth5-s3-eth4,176135430,165650090,398,53
2025-10-13 17:47:50,s3-eth5-s4-eth4,169651993,124273677,388,79
2025-10-13 17:47:50,s4-eth5-s5-eth4,169629579,109711371,378,63
2025-10-13 17:47:50,s5-eth5-s6-eth4,169609211,96142599,385,19
2025-10-13 17:48:00,s1-eth4-s2-eth4,187849369,268654090,225,380
2025-10-13 17:48:00,s2-eth5-s3-eth4,176135430,165650090,398,53
2025-10-13 17:48:00,s3-eth5-s4-eth4,169651993,124273677,388,79
2025-10-13 17:48:00,s4-eth5-s5-eth4,169629579,109711371,378,63
2025-10-13 17:48:00,s5-eth5-s6-eth4,169609211,96142599,385,19
